Product_Code,W0
P1,11
P2,7
P3,7
P4,12
P5,8
P6,3
P7,4
P8,8
P9,14
P10,22
P11,15
P12,3
P13,12
P14,14
P15,19
P16,30
P17,49
P18,40
P19,26
P20,13
P21,12
P22,8
P23,3
P24,36
P25,26
P26,14
P27,44
P28,34
P29,13
P30,46
P31,7
P32,15
P33,15
P34,47
P35,34
P36,41
P37,36
P38,37
P39,31
P40,41
P41,35
P42,42
P43,28
P44,34
P45,40
P46,27
P47,40
P48,29
P49,37
P50,12
P51,19
P52,40
P53,2
P54,41
P55,34
P56,31
P57,38
P58,32
P59,5
P60,37
P61,25
P62,12
P63,37
P64,34
P65,14
P66,35
P67,36
P68,14
P69,26
P70,31
P71,7
P72,26
P73,35
P74,8
P75,34
P76,27
P77,7
P78,39
P79,37
P80,38
P81,14
P82,10
P83,46
P84,29
P85,39
P86,37
P87,30
P88,41
P89,24
P90,42
P91,10
P92,26
P93,11
P94,14
P95,12
P96,31
P97,29
P98,4
P99,16
P100,13
P101,26
P102,34
P103,7
P104,4
P105,2
P106,11
P107,19
P108,0
P109,9
P110,9
P111,5
P112,31
P113,22
P114,7
P115,9
P116,13
P117,6
P118,16
P119,30
P120,37
P121,7
P122,7
P123,5
P124,4
P125,6
P126,3
P127,4
P128,36
P129,21
P130,19
P131,29
P132,39
P133,30
P134,32
P135,38
P136,39
P137,37
P138,36
P139,32
P140,28
P141,27
P142,23
P143,31
P144,9
P145,10
P146,7
P147,10
P148,3
P149,11
P150,4
P151,3
P152,11
P153,22
P154,12
P155,5
P156,1
P157,12
P158,8
P159,2
P160,9
P161,5
P162,13
P163,6
P164,9
P165,9
P166,7
P167,33
P168,34
P169,38
P170,29
P171,6
P172,32
P173,34
P174,37
P175,30
P176,38
P177,25
P178,35
P179,44
P180,40
P181,32
P182,42
P183,25
P184,30
P185,32
P186,36
P187,31
P188,33
P189,32
P190,54
P191,48
P192,24
P193,36
P194,35
P195,4
P196,43
P197,6
P198,7
P199,4
P200,18
P201,1
P202,10
P203,9
P204,1
P205,11
P206,1
P207,2
P208,30
P209,12
P210,16
P211,15
P212,0
P213,0
P214,0
P215,0
P216,0
P217,0
P218,0
P219,0
P220,0
P221,0
P222,0
P223,0
P224,0
P225,0
P226,0
P227,1
P228,0
P229,0
P230,0
P231,0
P232,0
P233,0
P234,0
P235,0
P236,0
P237,0
P238,0
P239,0
P240,0
P241,0
P242,0
P243,0
P244,0
P245,2
P246,0
P247,1
P248,0
P249,0
P250,0
P251,0
P252,0
P253,0
P254,0
P255,1
P256,0
P257,0
P258,0
P259,0
P260,0
P261,20
P262,25
P263,18
P264,8
P265,0
P266,6
P267,8
P268,18
P269,7
P270,26
P271,3
P272,0
P273,0
P274,0
P275,0
P276,0
P277,0
P278,0
P279,0
P280,0
P281,1
P282,0
P283,0
P284,26
P285,11
P286,17
P287,0
P288,1
P289,0
P290,0
P291,2
P292,2
P293,6
P294,9
P295,3
P296,7
P297,3
P298,5
P299,10
P300,6
P301,7
P302,4
P303,3
P304,7
P305,8
P306,4
P307,4
P308,7
P309,9
P310,5
P311,8
P312,3
P313,10
P314,6
P315,5
P316,4
P317,2
P318,3
P319,5
P320,2
P321,3
P322,4
P323,3
P324,11
P325,7
P326,3
P327,2
P328,4
P329,2
P330,4
P331,7
P332,10
P333,9
P334,11
P335,6
P336,2
P337,3
P338,2
P339,0
P340,0
P341,5
P342,3
P343,0
P344,1
P345,2
P346,0
P347,1
P348,1
P349,0
P350,0
P351,0
P352,0
P354,0
P355,0
P356,4
P357,3
P358,1
P359,3
P360,0
P361,6
P362,1
P363,2
P364,10
P365,6
P366,2
P367,0
P368,0
P369,3
P370,6
P371,2
P372,1
P373,0
P374,1
P375,1
P376,0
P377,1
P378,0
P379,0
P380,0
P381,0
P382,0
P383,0
P384,1
